City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.9,66,61,10.51,TF,1702835547
1,ocean shores,46.9737,-124.1563,9.97,84,49,3.13,US,1702836019
2,salekhard,66.53,66.6019,-21.53,100,100,1.29,RU,1702836020
3,waitangi,-43.9535,-176.5597,16.01,94,86,2.24,NZ,1702835549
4,glace bay,46.1969,-59.957,2.83,71,75,7.2,CA,1702836021
5,puerto natales,-51.7236,-72.4875,14.25,30,20,5.66,CL,1702835561
6,tadmur,34.5608,38.2805,13.14,72,50,2.56,SY,1702836023
7,lata,40.1629,-8.3327,10.04,69,0,1.08,PT,1702836024
8,ushuaia,-54.8,-68.3,10.79,46,0,2.57,AR,1702835546
9,bethel,41.3712,-73.414,9.64,86,100,0.45,US,1702836025
10,sechura,-5.5569,-80.8222,28.21,58,63,4.33,PE,1702835589
11,moranbah,-22.0016,148.0466,23.0,69,54,1.87,AU,1702835570
12,lindley,-27.8791,27.9135,22.57,37,50,2.37,ZA,1702836027
13,thurgoona,-36.0451,146.9919,15.92,100,100,2.96,AU,1702836029
14,albany,42.6001,-73.9662,7.59,82,100,0.45,US,1702835550
15,alice springs,-23.7,133.8833,20.75,28,0,0.0,AU,1702835510
16,zhongshu,24.5167,103.7667,9.97,96,75,5.72,CN,1702836031
17,kingston,17.997,-76.7936,28.53,93,75,4.63,JM,1702836034
18,san ignacio,17.1561,-89.0714,24.08,73,100,5.14,BZ,1702835573
19,port augusta,-32.5,137.7667,26.77,16,99,1.29,AU,1702835553
20,alofi,-19.0595,-169.9187,24.94,94,100,5.66,NU,1702836038
21,thompson,55.7435,-97.8558,-14.91,78,75,4.63,CA,1702836040
22,nova vicosa,-17.8919,-39.3719,30.02,54,71,3.98,BR,1702836042
23,avarua,-21.2078,-159.775,26.03,89,20,6.17,CK,1702835557
24,kaa-khem,51.6833,94.7333,-27.55,85,88,2.1,RU,1702836043
25,weno,7.4515,151.8468,26.97,89,100,3.6,FM,1702836044
26,n'zeto,-7.2312,12.8666,25.56,91,100,2.79,AO,1702836044
27,port elizabeth,-33.918,25.5701,21.17,85,20,8.75,ZA,1702835553
28,saint-philippe,-21.3585,55.7679,25.77,79,98,5.27,RE,1702835599
29,fondi,41.3541,13.4313,10.45,65,0,1.3,IT,1702836047
30,kingsville,27.5159,-97.8561,19.1,41,20,0.89,US,1702836047
31,adamstown,-25.066,-130.1015,22.76,83,100,7.5,PN,1702835551
32,blackmans bay,-43.0167,147.3167,13.07,84,100,0.45,AU,1702835551
33,belinskiy,52.9647,43.4165,0.01,98,100,8.41,RU,1702836049
34,abaza,52.655,90.0928,-21.17,96,100,1.21,RU,1702836049
35,grytviken,-54.2811,-36.5092,5.75,62,100,5.27,GS,1702835545
36,new norfolk,-42.7826,147.0587,13.72,79,100,1.02,AU,1702835565
37,san sebastian de la gomera,28.0916,-17.1133,21.88,52,0,5.66,ES,1702836052
38,ilulissat,69.2167,-51.1,-11.99,40,75,6.69,GL,1702836053
39,edinburgh of the seven seas,-37.0676,-12.3116,13.13,67,10,4.46,SH,1702835566
40,necochea,-38.5473,-58.7368,23.63,68,53,6.51,AR,1702835594
41,haiku-pauwela,20.9219,-156.3051,22.25,78,42,4.02,US,1702836054
42,urangan,-25.3,152.9,25.52,81,93,3.77,AU,1702836054
43,lihue,21.9789,-159.3672,20.77,83,100,8.23,US,1702836055
44,targu-mures,46.5425,24.5575,-0.19,87,100,0.0,RO,1702835758
45,hithadhoo,-0.6,73.0833,28.91,74,10,5.93,MV,1702835585
46,yelizovo,53.1873,158.3805,0.08,63,100,14.0,RU,1702836056
47,luderitz,-26.6481,15.1594,17.8,71,0,8.8,NA,1702835565
48,hawaiian paradise park,19.5933,-154.9731,19.46,88,92,0.45,US,1702836057
49,paramonga,-10.6667,-77.8333,20.16,92,76,5.54,PE,1702836057
50,punta arenas,-53.15,-70.9167,14.06,35,0,8.23,CL,1702835551
51,saipan,15.1355,145.701,27.32,80,17,11.31,MP,1702836058
52,uliastay,47.7417,96.8444,-23.13,100,100,1.23,MN,1702836059
53,saratov,51.5667,46.0333,-2.92,62,72,3.13,RU,1702836035
54,lebanon,36.2081,-86.2911,11.16,80,100,4.12,US,1702835943
55,pisco,-13.7,-76.2167,23.34,78,0,5.14,PE,1702835375
56,badger,64.8,-147.5333,-10.05,91,40,2.06,US,1702836062
57,paka,4.6374,103.4368,25.96,94,96,0.0,MY,1702836063
58,dzhangala,49.2167,50.3333,-9.47,96,25,3.37,KZ,1702836063
59,west island,-12.1568,96.8225,26.99,74,40,4.63,CC,1702835572
60,pingzhuang,42.0372,119.2889,-20.25,87,2,1.85,CN,1702836066
61,samana,19.2056,-69.3369,28.12,83,75,4.12,DO,1702836067
62,bilibino,68.0546,166.4372,-33.17,99,93,0.66,RU,1702836067
63,katsuura,35.1333,140.3,6.99,43,44,4.95,JP,1702836068
64,ganja,40.6828,46.3606,7.48,71,75,2.06,AZ,1702836018
65,igrim,63.1906,64.4162,-11.55,93,100,5.25,RU,1702836071
66,tannum sands,-23.9504,151.3693,25.94,78,42,2.06,AU,1702836072
67,nova xavantina,-14.6667,-52.35,40.39,15,41,1.68,BR,1702836072
68,bastrop,32.7562,-91.8724,12.61,67,0,3.09,US,1702835812
69,bundaberg north,-24.8551,152.3425,23.45,96,93,1.94,AU,1702836073
70,touros,-5.1989,-35.4608,27.87,73,100,6.33,BR,1702835631
71,kyren,51.6828,102.1408,-20.59,96,100,0.45,RU,1702836075
